,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
,age,9,fnlwgt,5,education-num,3,10,3,4,0,capital-gain,capital-loss,hours-per-week,1,1
0.0,39,2,77516,13,13,1,5,4,3,1,2174,0,40,22,2
1.0,50,1,83311,13,13,6,4,1,3,1,0,0,13,22,2
2.0,38,0,215646,12,9,5,12,4,3,1,0,0,40,22,2
3.0,53,0,234721,4,7,6,12,1,5,1,0,0,40,22,2
4.0,28,0,338409,13,13,6,6,2,5,2,0,0,40,15,2
5.0,37,0,284582,0,14,6,4,2,3,2,0,0,40,22,2
6.0,49,0,160187,7,5,4,14,4,5,2,0,0,16,24,2
7.0,52,1,209642,12,9,6,4,1,3,1,0,0,45,22,0
8.0,31,0,45781,0,14,1,6,4,3,2,14084,0,50,22,0
9.0,42,0,159449,13,13,6,4,1,3,1,5178,0,40,22,0
10.0,37,0,280464,10,10,6,4,1,5,1,0,0,80,22,0
11.0,30,2,141297,13,13,6,6,1,0,1,0,0,40,25,0
12.0,23,0,122272,13,13,1,5,0,3,2,0,0,30,22,2
13.0,32,0,205019,1,12,1,3,4,5,1,0,0,50,22,2
14.0,40,0,121772,14,11,6,7,1,0,1,0,0,40,26,0
15.0,34,0,245487,15,4,6,1,1,1,1,0,0,45,3,2
16.0,25,1,176756,12,9,1,0,0,3,1,0,0,35,22,2
17.0,32,0,186824,12,9,1,13,6,3,1,0,0,40,22,2
18.0,38,0,28887,4,7,6,3,1,3,1,0,0,50,22,2
19.0,43,1,292175,0,14,5,4,6,3,2,0,0,45,22,0
20.0,40,0,193524,9,16,6,6,1,3,1,0,0,60,22,0
21.0,54,0,302146,12,9,0,14,6,5,2,0,0,20,22,2
22.0,35,7,76845,7,5,6,0,1,5,1,0,0,40,22,2
23.0,43,0,117037,4,7,6,1,1,3,1,0,2042,40,22,2
24.0,59,0,109015,12,9,5,9,6,3,2,0,0,40,22,2
25.0,56,5,216851,13,13,6,9,1,3,1,0,0,40,22,0
26.0,19,0,168294,12,9,1,7,0,3,1,0,0,40,22,2
27.0,54,6,180211,10,10,6,8,1,0,1,0,0,60,0,0
28.0,39,0,367260,12,9,5,4,4,3,1,0,0,80,22,2
29.0,49,0,193366,12,9,6,7,1,3,1,0,0,40,22,2
30.0,23,5,190709,1,12,1,2,4,3,1,0,0,52,22,2
31.0,20,0,266015,10,10,1,3,0,5,1,0,0,44,22,2
32.0,45,0,386940,13,13,5,4,0,3,1,0,1408,40,22,2
33.0,30,7,59951,10,10,6,5,0,3,1,0,0,40,22,2
34.0,22,2,311512,10,10,6,14,1,5,1,0,0,15,22,2
35.0,48,0,242406,4,7,1,13,6,3,1,0,0,40,38,2
36.0,21,0,197200,10,10,1,13,0,3,1,0,0,40,22,2
37.0,19,0,544091,12,9,7,5,2,3,2,0,0,25,22,2
38.0,31,0,84154,10,10,6,3,1,3,1,0,0,38,26,0
39.0,48,1,265477,1,12,6,6,1,3,1,0,0,40,22,2
40.0,31,0,507875,7,5,6,13,1,3,1,0,0,43,22,2
41.0,53,1,88506,13,13,6,6,1,3,1,0,0,40,22,2
42.0,24,0,172987,13,13,6,9,1,3,1,0,0,50,22,2
43.0,49,0,94638,12,9,0,5,6,3,2,0,0,40,22,2
